,id,title,description,price,condition,brand,link,mobile_link,gtin,mpn,image_link,google_product_category,availability,availability_date,shipping,tax,online_only,expiration_date,product_type,shipping_weight,excluded_destination,color,gender,age_group,item_group_id,additional_image_link,material,pattern,size,size_type,size_system,sale_price,sale_price_effective_date,adwords_grouping,adwords_labels,adwords_redirect,manufacturer,identifier_exists,multipack,is_bundle,adult,promotion_id,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4,shipping_label,shipping_height,shipping_length,shipping_width,unit_pricing_measure,unit_pricing_base_measure,display_ads_similar_id,display_ads_link,display_ads_id,display_ads_title,display_ads_value
10,c161017~champagne-matte-satin,Champagne The Ziv Dress,Ziv is a matte satin slip dress with V-neckline and multi-straps. The dress features a criss-cross detailing and a draped open back.,215.0,new,Fame&Partners,https://www.fameandpartners.com/dresses/dress-the-ziv-dress-1740?color=champagne-matte-satin,,,c161017~champagne-matte-satin,https://d2ta5pga3sqz6i.cloudfront.net/spree/products/46463/large/c161017-ms6-crop.jpg?1545960432,Apparel & Accessories > Clothing > Dresses,in stock,,,,,,Hourglass,,,Champagne,female,Adult,c161017,,,,US 0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,c161024~black-heavy-georgette,Black The Callais Dress,"Sweet but sexy. The Callais is a maxi dress featuring a ruffled, crossfront neckline, an open back with corset-inspired lacing, and a split skirt that flares at the hips. It has an invisible zip closure.",299.0,new,Fame&Partners,https://www.fameandpartners.com/dresses/dress-the-callais-dress-1064?color=black-heavy-georgette,,,c161024~black-heavy-georgette,https://d2ta5pga3sqz6i.cloudfront.net/spree/products/45490/large/c161024-hg1-crop.jpg?1545959359,Apparel & Accessories > Clothing > Dresses,in stock,,,,,,2-3 weeks,,,Black,female,Adult,c161024,,,,US 0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,c161024~burgundy-heavy-georgette,Burgundy The Callais Dress,"Sweet but sexy. The Callais is a maxi dress featuring a ruffled, crossfront neckline, an open back with corset-inspired lacing, and a split skirt that flares at the hips. It has an invisible zip closure.",299.0,new,Fame&Partners,https://www.fameandpartners.com/dresses/dress-the-callais-dress-1064?color=burgundy-heavy-georgette,,,c161024~burgundy-heavy-georgette,https://d2ta5pga3sqz6i.cloudfront.net/spree/products/45498/large/c161024-hg5-front-crop.jpg?1545959341,Apparel & Accessories > Clothing > Dresses,in stock,,,,,,2-3 weeks,,,Burgundy,female,Adult,c161024,,,,US 0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,fp2006~champagne-heavy-georgette,Champagne Tilbury Dress,"Lets wrap it up. The Tilbury is a maxi wrap gown featuring a full skirt, adjustable straps, and a thigh high split.",229.0,new,Fame&Partners,https://www.fameandpartners.com/dresses/dress-tilbury-dress-1109?color=champagne-heavy-georgette,,,fp2006~champagne-heavy-georgette,https://d2ta5pga3sqz6i.cloudfront.net/spree/products/45744/large/fp2006-hg34-front-crop.jpg?1545959409,Apparel & Accessories > Clothing > Dresses,in stock,,,,,,Hourglass,,,Champagne,female,Adult,fp2006,,,,US 0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,fp2006~pale-blue-heavy-georgette,Pale Blue Tilbury Dress,"Lets wrap it up. The Tilbury is a maxi wrap gown featuring a full skirt, adjustable straps, and a thigh high split.",229.0,new,Fame&Partners,https://www.fameandpartners.com/dresses/dress-tilbury-dress-1109?color=pale-blue-heavy-georgette,,,fp2006~pale-blue-heavy-georgette,https://d2ta5pga3sqz6i.cloudfront.net/spree/products/45733/large/fp2006-hg24-front-crop.jpg?1545959414,Apparel & Accessories > Clothing > Dresses,in stock,,,,,,Hourglass,,,Pale Blue,female,Adult,fp2006,,,,US 0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,fp2006~spring-posey-heavy-georgette,Spring Posey Tilbury Dress,"Lets wrap it up. The Tilbury is a maxi wrap gown featuring a full skirt, adjustable straps, and a thigh high split.",229.0,new,Fame&Partners,https://www.fameandpartners.com/dresses/dress-tilbury-dress-1109?color=spring-posey-heavy-georgette,,,fp2006~spring-posey-heavy-georgette,https://d2ta5pga3sqz6i.cloudfront.net/spree/products/45748/large/fp2006-hg35-front-crop.jpg?1545959407,Apparel & Accessories > Clothing > Dresses,in stock,,,,,,Hourglass,,,Spring Posey,female,Adult,fp2006,,,,US 0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,fp2018~black-light-silk-charmeuse,Black Cici Jumpsuit,Put a bow on it. The Cici is a wide-leg jumpsuit featuring a structured bow design at the bodice and a defined waist. It has an invisible zip closure.,399.0,new,Fame&Partners,https://www.fameandpartners.com/dresses/dress-cici-jumpsuit-1111?color=black-light-silk-charmeuse,,,fp2018~black-light-silk-charmeuse,https://d2ta5pga3sqz6i.cloudfront.net/spree/products/45668/large/fp2018-sh1-crop.jpg?1545959431,Apparel & Accessories > Clothing > Dresses,in stock,,,,,,Hourglass,,,Black,female,Adult,fp2018,,,,US 0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,fp2018~dark-forest-stretch-crepe,Dark Forest Cici Jumpsuit,Put a bow on it. The Cici is a wide-leg jumpsuit featuring a structured bow design at the bodice and a defined waist. It has an invisible zip closure.,315.0,new,Fame&Partners,https://www.fameandpartners.com/dresses/dress-cici-jumpsuit-1111?color=dark-forest-stretch-crepe,,,fp2018~dark-forest-stretch-crepe,https://d2ta5pga3sqz6i.cloudfront.net/spree/products/45678/large/fp2018-sc34-crop.jpg?1545959425,Apparel & Accessories > Clothing > Dresses,in stock,,,,,,Hourglass,,,Dark Forest,female,Adult,fp2018,,,,US 0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,fp2018~ice-pink-light-silk-charmeuse,Ice Pink Cici Jumpsuit,Put a bow on it. The Cici is a wide-leg jumpsuit featuring a structured bow design at the bodice and a defined waist. It has an invisible zip closure.,399.0,new,Fame&Partners,https://www.fameandpartners.com/dresses/dress-cici-jumpsuit-1111?color=ice-pink-light-silk-charmeuse,,,fp2018~ice-pink-light-silk-charmeuse,https://d2ta5pga3sqz6i.cloudfront.net/spree/products/45666/large/fp2018-sh13-crop.jpg?1545959420,Apparel & Accessories > Clothing > Dresses,in stock,,,,,,Hourglass,,,Ice Pink,female,Adult,fp2018,,,,US 0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,fp2018~kelly-green-stretch-silk-charmeuse,Kelly Green Cici Jumpsuit,Put a bow on it. The Cici is a wide-leg jumpsuit featuring a structured bow design at the bodice and a defined waist. It has an invisible zip closure.,499.0,new,Fame&Partners,https://www.fameandpartners.com/dresses/dress-cici-jumpsuit-1111?color=kelly-green-stretch-silk-charmeuse,,,fp2018~kelly-green-stretch-silk-charmeuse,https://d2ta5pga3sqz6i.cloudfront.net/spree/products/45664/large/fp2018-ss6-crop.jpg?1545959422,Apparel & Accessories > Clothing > Dresses,in stock,,,,,,Hourglass,,,Kelly Green,female,Adult,fp2018,,,,US 0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,fp2021~black-matte-satin,Black The Oscar Dress,"She's come undone. The Oscar is a matte satin gown with a single off-the-shoulder, ruffled arm band and a layered, asymmetrical hem. It has an invisible zipper and hook and eye closure.",299.0,new,Fame&Partners,https://www.fameandpartners.com/dresses/dress-the-oscar-dress-1741?color=black-matte-satin,,,fp2021~black-matte-satin,https://d2ta5pga3sqz6i.cloudfront.net/spree/products/46509/large/fp2021-ms1-crop.jpg?1545960438,Apparel & Accessories > Clothing > Dresses,in stock,,,,,,Hourglass,,,Black,female,Adult,fp2021,,,,US 0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,fp2021~pale-pink-matte-satin,Pale Pink The Oscar Dress,"She's come undone. The Oscar is a matte satin gown with a single off-the-shoulder, ruffled arm band and a layered, asymmetrical hem. It has an invisible zipper and hook and eye closure.",299.0,new,Fame&Partners,https://www.fameandpartners.com/dresses/dress-the-oscar-dress-1741?color=pale-pink-matte-satin,,,fp2021~pale-pink-matte-satin,https://d2ta5pga3sqz6i.cloudfront.net/spree/products/46510/large/fp2021-ms26-crop.jpg?1545960440,Apparel & Accessories > Clothing > Dresses,in stock,,,,,,Hourglass,,,Pale Pink,female,Adult,fp2021,,,,US 0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,fp2037~navy-heavy-georgette,Navy Olsen,A dress to make your heart flutter. The Olsen is a maxi dress featuring ruffles at the neckline and backline. It has an invisible zip closure.,249.0,new,Fame&Partners,https://www.fameandpartners.com/dresses/dress-olsen-1106?color=navy-heavy-georgette,,,fp2037~navy-heavy-georgette,https://d2ta5pga3sqz6i.cloudfront.net/spree/products/45561/large/fp2037-hg22-cropjpg.jpg?1545959396,Apparel & Accessories > Clothing > Dresses,in stock,,,,,,Hourglass,,,Navy,female,Adult,fp2037,,,,US 0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,fp2062~burgundy-corded-lace,Burgundy Dragon Eyes Lace,"A high neckline and an even higher split. The Dragon Eyes Lace is a fitted maxi dress featuring a halter neckline, scalloped lace detailing, and a mermaid-style skirt with a thigh-high split. It has an invisible zip closure.",299.0,new,Fame&Partners,https://www.fameandpartners.com/dresses/dress-dragon-eyes-lace-1135?color=burgundy-corded-lace,,,fp2062~burgundy-corded-lace,https://d2ta5pga3sqz6i.cloudfront.net/spree/products/47388/large/fp2062-cl5-crop.jpg?1545959449,Apparel & Accessories > Clothing > Dresses,in stock,,,,,,Hourglass,,,Burgundy,female,Adult,fp2062,,,,US 0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,fp2184~navy-heavy-georgette,Navy Maquino,"Like your favorite robe, but better. The Maquino is a maxi wrap dress with a defined waist and wide sleeve cuffs.",299.0,new,Fame&Partners,https://www.fameandpartners.com/dresses/dress-maquino-1198?color=navy-heavy-georgette,,,fp2184~navy-heavy-georgette,https://d2ta5pga3sqz6i.cloudfront.net/spree/products/45703/large/fp2184-hg22-front-crop.jpg?1545959463,Apparel & Accessories > Clothing > Dresses,in stock,,,,,,Hourglass,,,Navy,female,Adult,fp2184,,,,US 0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,fp2184~red-heavy-georgette,Red Maquino,"Like your favorite robe, but better. The Maquino is a maxi wrap dress with a defined waist and wide sleeve cuffs.",299.0,new,Fame&Partners,https://www.fameandpartners.com/dresses/dress-maquino-1198?color=red-heavy-georgette,,,fp2184~red-heavy-georgette,https://d2ta5pga3sqz6i.cloudfront.net/spree/products/45707/large/fp2184-hg30-front-crop.jpg?1545959460,Apparel & Accessories > Clothing > Dresses,in stock,,,,,,Hourglass,,,Red,female,Adult,fp2184,,,,US 0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,fp2457~white-matte-satin-and-tulle,White The Venice Dress,"From Italy to California. The Venice is a fit and flare midi dress featuring a corsetted bodice, a cut-out at the back, and a multi-layer tulle skirt. It has an invisible zip closure.",329.0,new,Fame&Partners,https://www.fameandpartners.com/dresses/dress-the-venice-dress-1581?color=white-matte-satin-and-tulle,,,fp2457~white-matte-satin-and-tulle,https://d2ta5pga3sqz6i.cloudfront.net/spree/products/37149/large/fp2457-white-front-crop.jpg?1545959959,Apparel & Accessories > Clothing > Dresses,in stock,,,,,,Hourglass,,,White,female,Adult,fp2457,,,,US 0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,fp2476~white-heavy-georgette,White The Phoenix Jumpsuit,Rise up. The Phoenix is a heavy georgette maxi jumpsuit featuring a skirt overlay and corset-inspired lacing at the neckline and sides. It has an invisible zip closure.,289.0,new,Fame&Partners,https://www.fameandpartners.com/dresses/dress-the-phoenix-jumpsuit-1563?color=white-heavy-georgette,,,fp2476~white-heavy-georgette,https://d2ta5pga3sqz6i.cloudfront.net/spree/products/36998/large/fp2476-white-crop.jpg?1545959935,Apparel & Accessories > Clothing > Dresses,in stock,,,,,,Hourglass,,,White,female,Adult,fp2476,,,,US 0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,fp2478~garden-at-dusk-floral-light-georgette,Garden at Dusk Floral The Dusk Jumpsuit,"From dawn 'til dusk. The Dusk is a light georgette maxi jumpsuit in an exclusive floral print, featuring flutter sleeves and an open back. It has an invisible zip closure.",299.0,new,Fame&Partners,https://www.fameandpartners.com/dresses/dress-the-dusk-jumpsuit-1565?color=garden-at-dusk-floral-light-georgette,,,fp2478~garden-at-dusk-floral-light-georgette,https://d2ta5pga3sqz6i.cloudfront.net/spree/products/37078/large/fp2478-garden_at_dusk_floral-front-crop.jpg?1545959943,Apparel & Accessories > Clothing > Dresses,in stock,,,,,,Hourglass,,,Garden at Dusk Floral,female,Adult,fp2478,,,,US 0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,fp2655~pale-blue-heavy-georgette,Pale Blue The Dina Dress,"You'll flip over this maxi dress. Featuring a bow-tied bodice, buttons at the back, and a midriff cutout, the Dina Dress finishes in a mermaid-style flare. It has an invisible zip closure.",229.0,new,Fame&Partners,https://www.fameandpartners.com/dresses/dress-the-dina-dress-1678?color=pale-blue-heavy-georgette,,,fp2655~pale-blue-heavy-georgette,https://d2ta5pga3sqz6i.cloudfront.net/spree/products/45223/large/fp2655-hg24-crop.jpg?1545960377,Apparel & Accessories > Clothing > Dresses,in stock,,,,,,Hourglass,,,Pale Blue,female,Adult,fp2655,,,,US 0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,fp2658~milano-floral-red-stretch-crepe,Milano Floral Red The Phoebe Dress,Major style in a mini dress. The Phoebe is a bodycon mini dress featuring an open back and ruffle detailing at the wrists and hem. It has an invisible zip closure.,159.0,new,Fame&Partners,https://www.fameandpartners.com/dresses/dress-the-phoebe-dress-1727?color=milano-floral-red-stretch-crepe,,,fp2658~milano-floral-red-stretch-crepe,https://d2ta5pga3sqz6i.cloudfront.net/spree/products/46336/large/fp2658-sc35-front-crop.jpg?1545960750,Apparel & Accessories > Clothing > Dresses,in stock,,,,,,Midi Mini,,,Milano Floral Red,female,Adult,fp2658,,,,US 0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,fp2662~emerald-green-heavy-georgette,Emerald Green The Liberty Dress,"Cross the line. The Liberty is a maxi dress featuring a plunging neckline, double bands across the bodice and sides, and a full, flowing skirt. It has an invisible zip closure.",279.0,new,Fame&Partners,https://www.fameandpartners.com/dresses/dress-the-liberty-dress-1659?color=emerald-green-heavy-georgette,,,fp2662~emerald-green-heavy-georgette,https://d2ta5pga3sqz6i.cloudfront.net/spree/products/44943/large/fp2662-hg10-front-crop.jpg?1545960109,Apparel & Accessories > Clothing > Dresses,in stock,,,,,,2-3 weeks,,,Emerald Green,female,Adult,fp2662,,,,US 0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,fp2662~navy-heavy-georgette,Navy The Liberty Dress,"Cross the line. The Liberty is a maxi dress featuring a plunging neckline, double bands across the bodice and sides, and a full, flowing skirt. It has an invisible zip closure.",279.0,new,Fame&Partners,https://www.fameandpartners.com/dresses/dress-the-liberty-dress-1659?color=navy-heavy-georgette,,,fp2662~navy-heavy-georgette,https://d2ta5pga3sqz6i.cloudfront.net/spree/products/44940/large/fp2662-hg22-front-crop.jpg?1545960120,Apparel & Accessories > Clothing > Dresses,in stock,,,,,,2-3 weeks,,,Navy,female,Adult,fp2662,,,,US 0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,fp2670~lilac-light-georgette,Lilac The Palmer Two Piece,"Two pieces are better than one. The Palmer is a two-piece set featuring a minimal crop top with button closures at the back, and a partially-lined, mermaid-style maxi skirt. It has an invisible zip closure.",199.0,new,Fame&Partners,https://www.fameandpartners.com/dresses/dress-the-palmer-two-piece-1680?color=lilac-light-georgette,,,fp2670~lilac-light-georgette,https://d2ta5pga3sqz6i.cloudfront.net/spree/products/45070/large/fp2670-lg18-crop.jpg?1545960392,Apparel & Accessories > Clothing > Dresses,in stock,,,,,,Hourglass,,,Lilac,female,Adult,fp2670,,,,US 0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,fp2671~navy-heavy-georgette,Navy The Zyra Dress,"Talk about a fit and flare. The Zyra is a fitted maxi dress featuring thin straps, small side cutouts, and a mermaid-style skirt. It has an invisible zip closure.",229.0,new,Fame&Partners,https://www.fameandpartners.com/dresses/dress-the-zyra-dress-1657?color=navy-heavy-georgette,,,fp2671~navy-heavy-georgette,https://d2ta5pga3sqz6i.cloudfront.net/spree/products/47154/large/fp2671-hg22-crop.jpg?1545960093,Apparel & Accessories > Clothing > Dresses,in stock,,,,,,2-3 weeks,,,Navy,female,Adult,fp2671,,,,US 0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,fp2683~pretty-pink-heavy-georgette,Pretty Pink The Kira Dress,"Keep it under wraps. The Kira is a maxi wrap dress featuring flutter sleeves, a deep V neckline, a small cutout at the back, and ruffle detailing down the front of the skirt.",279.0,new,Fame&Partners,https://www.fameandpartners.com/dresses/dress-the-kira-dress-1655?color=pretty-pink-heavy-georgette,,,fp2683~pretty-pink-heavy-georgette,https://d2ta5pga3sqz6i.cloudfront.net/spree/products/47338/large/fp2683-hg29-front-crop.jpg?1545960067,Apparel & Accessories > Clothing > Dresses,in stock,,,,,,Hourglass,,,Pretty Pink,female,Adult,fp2683,,,,US 0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,fp2692~lemon-light-georgette,Lemon The Carson Dress,"Pretty in pleats. The Carson Dress is a maxi dress featuring a plunging neckline and backline, a defined waist, and a flowing skirt. It has a n invisible zip closure.",279.0,new,Fame&Partners,https://www.fameandpartners.com/dresses/dress-the-carson-dress-1677?color=lemon-light-georgette,,,fp2692~lemon-light-georgette,https://d2ta5pga3sqz6i.cloudfront.net/spree/products/45172/large/fp2692-lg16-crop.jpg?1545960361,Apparel & Accessories > Clothing > Dresses,in stock,,,,,,2-3 weeks,,,Lemon,female,Adult,fp2692,,,,US 0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,fp2748~grey-houndstooth-suiting,Grey Pinafore Dress,A fit-and-flare midi-length dress featuring an apron-front bodice and cross-back button straps. It has an invisible zip closure.,279.0,new,Fame&Partners,https://www.fameandpartners.com/dresses/dress-pinafore-dress-1814?color=grey-houndstooth-suiting,,,fp2748~grey-houndstooth-suiting,https://d2ta5pga3sqz6i.cloudfront.net/spree/products/47569/large/fp2748-HTS1-FRONT-CROP.jpg?1545962224,Apparel & Accessories > Clothing > Dresses,in stock,,,,,,Print,,,Grey,female,Adult,fp2748,,,,US 0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,fp2768~ivory-raised-spot-georgette,Ivory The Jacy Jumpsuit,"On the dot. The Jacy is a maxi-length jumpsuit featuring dotted fabric, a deep V neckline and backline, ruffle detailing on the bodice, and a wide-leg fit. It has an invisible zip closure.",299.0,new,Fame&Partners,https://www.fameandpartners.com/dresses/dress-the-jacy-jumpsuit-1751?color=ivory-raised-spot-georgette,,,fp2768~ivory-raised-spot-georgette,https://d2ta5pga3sqz6i.cloudfront.net/spree/products/46778/large/fp2768-rsg1-front-crop.jpg?1545960485,Apparel & Accessories > Clothing > Dresses,in stock,,,,,,Hourglass,,,Ivory,female,Adult,fp2768,,,,US 0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,fp2777~ivory-raised-spot-georgette,Ivory The Nancy Dress,"The ultimate feminine ball gown. The Nancy is a maxi gown featuring a fitted bodice, a banded waist, and a full, tiered skirt. It has boning in the bodice and an invisible zip closure.",329.0,new,Fame&Partners,https://www.fameandpartners.com/dresses/dress-the-nancy-dress-1671?color=ivory-raised-spot-georgette,,,fp2777~ivory-raised-spot-georgette,https://d2ta5pga3sqz6i.cloudfront.net/spree/products/45118/large/fp2777-rsg1-front-crop.jpg?1545960322,Apparel & Accessories > Clothing > Dresses,in stock,,,,,,Hourglass,,,Ivory,female,Adult,fp2777,,,,US 0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,fp2828~black-light-silk-charmeuse,Black The Lou Dress,"Find love in the Lou. This is a bias-cut maxi dress feautring a plunging neckline and backline, a bow detail at the back, and an asymmetrical hem. It has an invisible zip closure.",379.0,new,Fame&Partners,https://www.fameandpartners.com/dresses/dress-the-lou-dress-1652?color=black-light-silk-charmeuse,,,fp2828~black-light-silk-charmeuse,https://d2ta5pga3sqz6i.cloudfront.net/spree/products/44999/large/fp2828-sh1-crop.jpg?1545960051,Apparel & Accessories > Clothing > Dresses,in stock,,,,,,Hourglass,,,Black,female,Adult,fp2828,,,,US 0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
